,feature,size,weight,gain,cv
66,GeneID.90634,90,,,1
67,GeneID.6790,90,,,1
68,GeneID.10615,90,,,1
69,GeneID.6038,90,,,1
70,GeneID.8318,90,,,1
71,GeneID.5366,90,,,1
72,GeneID.149461,90,,,1
73,GeneID.4886,90,,,1
74,GeneID.79192,90,,,1
75,GeneID.84417,90,,,1
76,GeneID.1033,90,,,1
77,GeneID.2886,90,,,1
78,GeneID.25891,90,,,1
79,GeneID.771,90,,,1
80,GeneID.84281,90,,,1
81,GeneID.9232,90,,,1
82,GeneID.56849,90,,,1
83,GeneID.9413,90,,,1
84,GeneID.6718,90,,,1
85,GeneID.55259,90,,,1
86,GeneID.53335,90,,,1
87,GeneID.59272,90,,,1
88,GeneID.23397,90,,,1
89,GeneID.64105,90,,,1
0,GeneID.8424,80,0.013422818791946308,9.800244792500001,1
1,GeneID.1672,80,0.18120805369127516,9.44183734740741,1
2,GeneID.3852,80,,,1
3,GeneID.3868,80,,,1
4,GeneID.83903,80,0.23154362416107382,6.357176490579712,1
5,GeneID.3872,80,0.2684563758389262,5.920432535125,1
6,GeneID.4137,80,0.013422818791946308,5.1859825875,1
7,GeneID.27190,80,,,1
8,GeneID.196993,80,0.006711409395973154,4.58907795,1
9,GeneID.10948,80,0.010067114093959731,3.9409589766666664,1
10,GeneID.8200,80,0.06375838926174497,4.320662699473685,1
11,GeneID.55165,80,,,1
12,GeneID.84299,80,,,1
13,GeneID.12,80,0.006711409395973154,2.47625399,1
14,GeneID.306,80,0.003355704697986577,2.325881,1
15,GeneID.11162,80,0.050335570469798654,2.026090972,1
16,GeneID.7783,80,0.006711409395973154,1.99732494,1
17,GeneID.154141,80,,,1
18,GeneID.81706,80,0.013422818791946308,2.066435875,1
19,GeneID.3400,80,0.07046979865771812,1.1885266304761908,1
20,GeneID.3861,80,0.05704697986577181,1.158876643529412,1
21,GeneID.79083,80,,,1
22,GeneID.3169,80,,,1
23,GeneID.1058,80,,,1
24,GeneID.9133,80,,,1
25,GeneID.9700,80,,,1
26,GeneID.319089,80,,,1
27,GeneID.5347,80,,,1
28,GeneID.2064,80,,,1
29,GeneID.7272,80,,,1
30,GeneID.332,80,,,1
31,GeneID.8190,80,,,1
32,GeneID.2625,80,,,1
33,GeneID.11065,80,,,1
34,GeneID.151648,80,,,1
35,GeneID.23650,80,,,1
36,GeneID.85004,80,,,1
37,GeneID.7832,80,,,1
38,GeneID.55839,80,,,1
39,GeneID.9156,80,,,1
40,GeneID.6422,80,,,1
41,GeneID.55861,80,,,1
42,GeneID.10403,80,,,1
43,GeneID.29089,80,,,1
44,GeneID.8914,80,,,1
